Quantity,Value,Description,RefDes,Mouser,Notes
,,,,,
6,18p,0603 Cap,"C6, C7, C47, C48, C40, C42",81-GRM185C1H180JA01J,
2,220p,0603 Cap,"C43, C44",81-GRM185C1H221GA01D,
6,1n,0603 Cap,"C9, C10, C11, C20, C21, C22",81-GRM1885C1H102FA1J,
19,100n,0603 Cap,"C3, C5, C8, C14, C15, C16, C17, C18, C23, C25, C26, C29, C30, C32, C34, C38, C39, C45, C46",81-GRM188R71E104JA1J,
2,1u,0603 Cap,"C12, C50",81-GRM18R61A105KA61J,
2,2.2u,0603 Cap,"C19, C24",810-C2012X5R1A225K-2,
,,,,,
5,47u,Alum. SMD Cap,"C1, C2, C4, C13, C27",667-EEE-FT1V470AR,
6,10u,Alum. SMD Cap,"C28, C33, C36, C37, C41, C49",647-UWX1C100MCL2,
2,10u,Alum. SMD Cap,"C31, C35",598-AVE106M16B12T-F,
,,,,,
1,4.7R,1206,R11,603-RC1206JR-074R7L,
10,68R,0603,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10",RC0603FR-0768R1L,
1,470R,0603,R30,RC0603FR-07470RL,
2,1.0k,0603,"R61, R62",603-RC0603FR-071KL,
2,2.2k,0603,"R40, R41",603-RC0603FR-072K2L,
2,3.3k,0603,"R46, R47",RC0603FR-073K3L,
6,5.6k,0603,"R51, R52, R53, R54, R55, R56",RC0603FR-075K6L,
4,10k,0603,"R13, R14, R16, R17",603-RC0603FR-0710KL,
2,22k,0603,"R57, R58",603-RC0603FR-0722KL,
3,33k,0603,"R25, R26, R35",603-RC0603FR-0733KL,
4,39k,0603,"R48, R49, R50, R59",603-RC0603FR-0739KL,
1,47k,0603,R34,603-RC0603FR-0747KL,
2,66.5k,0603,"R27, R31",RC0603FR-0766K5L,
8,100k,0603,"R12, R15, R21, R24, R29, R32, R38, R39",603-RC0603FR-07100KL,
1,180k,0603,R36,603-RC0603FR-07180KL,
5,200k,0603,"R22, R23, R28, R33, R37",603-RC0603FR-07200KL,
,,,,,
6,10kB,Vertical Pot,"R18, R19, R20, R43, R44, R45",,Available from Thonk
1,50KA,ALPS Dual Vertical Pot,VR1,,Available from Thonk
,,,,,
1,,MB1S,D1,512-MB1S,
4,,T3 Red/Green LED,"LED1, LED2, LED3, LED4","
WP115VEGW",
1,LM4040B10,LM4041B12DBZ,IC6,595-LM4040C10IDBZR,
2,MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q1, Q2",863-MMBT3904LT1G,
1,LM1117-3.3,REG1117T,IC2,926-LM1117DT-3.3NOPB,
1,LM1117-3.3,REG1117,IC7,926-LM1117MPX3.3NOPB,
,,,,,
1,74HC595D,74HC595D,IC1,595-CD74HC595M,
3,MCP6002,MCP6002,"IC3, IC4, IC11",579-MCP6002-I/SN,
2,TL072D,TL072D,"IC9, IC10",595-TL072CD,
1,STM32F405RGT6,STM32F20X,IC5,511-STM32F405RGT6,
1,WM8731,WM8731,IC8,238-WM8731SEDS/V,
1,8MHz,TXC 7A crystal,Q3,717-7A-8.000MAAJ-T,
1,12.288MHz,TXC 7A crystal,Q4,717-7A-12.288MAAJ-T,
2,,Tact Buttons,"SW2, SW3",612-TL1105SP-250,
2,,Tact Button Caps,,612-1R-RD,"Cap colors: Change last letters. e.g. BLK, WHT"
1,LP4OA1PBCT,LP4OA1PBCT,SW1,612-LP4OA1PBCTG,
12,,Thonkiconn Style Jacks,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12",,
1,M05X2PTH,Eurorack 10pin Power Header,JP3,649-67996-410HLF,
1,M05X2MINIJTAG,Mini JTAG Connector,JP2,649-221111-00010T4LF,
